,State,cases,deaths,ELL Students Enrolled 2017
0,Alabama,387786,14345,25212
1,Alaska,18316,367,15623
2,Arizona,426614,18857,88629
3,Arkansas,161569,3301,39836
4,California,2664110,102387,1197296
5,Colorado,766512,37828,104299
6,Connecticut,1314995,104185,38089
7,Delaware,234327,7813,12296
8,District of Columbia,229466,10822,8145
9,Florida,1726811,63147,280540
10,Georgia,1282091,54209,113605
11,Hawaii,31433,681,14773
12,Idaho,103987,2828,17849
13,Illinois,2843621,122000,217790
14,Indiana,920434,53042,55607
15,Iowa,396980,9203,29473
16,Kansas,231885,6527,49238
17,Kentucky,246480,11851,25653
18,Louisiana,1443404,90609,25060
19,Maine,61284,2451,5775
20,Maryland,1173802,56126,79656
21,Massachusetts,2929874,167711,93217
22,Michigan,2023047,171867,97837
23,Minnesota,377850,18934,73203
24,Mississippi,358459,15047,12865
25,Missouri,395952,17924,33925
26,Montana,23875,676,3191
27,Nebraska,259429,3535,23332
28,Nevada,259808,11975,81635
29,New Hampshire,117245,4507,4988
30,New Jersey,5645458,332869,79574
31,New Mexico,177827,6867,52892
32,New York,15041806,1081194,243737
33,North Carolina,568719,19258,105801
34,North Dakota,55932,1219,3669
35,Ohio,908834,47879,53392
36,Oklahoma,187462,10394,52200
37,Oregon,134979,5067,51036
38,Pennsylvania,2320771,127278,61724
39,Rhode Island,401931,14251,12620
40,South Carolina,313173,11859,45574
41,South Dakota,122292,1121,5452
42,Tennessee,583792,10198,44790
43,Texas,1553075,41267,926325
44,Utah,245859,2472,46220
45,Vermont,45230,2320,1770
46,Virginia,866807,28754,114739
47,Washington,807848,42371,127777
48,West Virginia,56158,1950,2035
49,Wisconsin,393823,15587,49905
50,Wyoming,28407,281,2839
