,State,cases,deaths,Less Than HS Diploma 14-18,HS Diploma 14-18,Some College or Associate Degree 14-18,Bachelor Degree or Higher 14-18
0,Alabama,387786,14345,470043.0,1020172.0,987148.0,822595.0
1,Alaska,18316,367,34760.0,133851.0,169471.0,139645.0
2,Arizona,426614,18857,613002.0,1112551.0,1570308.0,1338071.0
3,Arkansas,161569,3301,276029.0,681223.0,590434.0,451621.0
4,California,2664110,102387,4475565.0,5391120.0,7633463.0,8718737.0
5,Colorado,766512,37828,322718.0,803431.0,1117551.0,1504892.0
6,Connecticut,1314995,104185,235826.0,670519.0,607136.0,965227.0
7,Delaware,234327,7813,67482.0,208557.0,176708.0,207232.0
8,District of Columbia,229466,10822,45805.0,83572.0,77255.0,280349.0
9,Florida,1726811,63147,1769489.0,4231678.0,4402103.0,4283457.0
10,Georgia,1282091,54209,903914.0,1890132.0,1912385.0,2080116.0
11,Hawaii,31433,681,80696.0,273633.0,313042.0,320996.0
12,Idaho,103987,2828,102691.0,301860.0,391446.0,293269.0
13,Illinois,2843621,122000,964587.0,2267535.0,2492430.0,2957791.0
14,Indiana,920434,53042,502624.0,1475931.0,1281352.0,1139908.0
15,Iowa,396980,9203,166709.0,648137.0,679510.0,587017.0
16,Kansas,231885,6527,175719.0,492819.0,603061.0,623076.0
17,Kentucky,246480,11851,429573.0,991791.0,873037.0,709603.0
18,Louisiana,1443404,90609,471960.0,1055768.0,842620.0,737593.0
19,Maine,61284,2451,74426.0,308013.0,286179.0,299279.0
20,Maryland,1173802,56126,409757.0,1021847.0,1052689.0,1630565.0
21,Massachusetts,2929874,167711,454360.0,1150846.0,1105887.0,2037702.0
22,Michigan,2023047,171867,641536.0,1966809.0,2226818.0,1937052.0
23,Minnesota,377850,18934,262401.0,930058.0,1216521.0,1322782.0
24,Mississippi,358459,15047,316345.0,596564.0,625228.0,429177.0
25,Missouri,395952,17924,430529.0,1266430.0,1246796.0,1181083.0
26,Montana,23875,676,48608.0,208896.0,233893.0,222870.0
27,Nebraska,259429,3535,110739.0,326549.0,415959.0,389216.0
28,Nevada,259808,11975,274163.0,563229.0,678710.0,485348.0
29,New Hampshire,117245,4507,67607.0,263005.0,274078.0,347425.0
30,New Jersey,5645458,332869,641113.0,1683568.0,1420805.0,2384056.0
31,New Mexico,177827,6867,205558.0,368487.0,442039.0,378196.0
32,New York,15041806,1081194,1839849.0,3556251.0,3322104.0,4888138.0
33,North Carolina,568719,19258,869866.0,1780253.0,2132449.0,2099206.0
34,North Dakota,55932,1219,36794.0,131264.0,177779.0,144396.0
35,Ohio,908834,47879,786160.0,2639478.0,2305877.0,2205570.0
36,Oklahoma,187462,10394,313788.0,806407.0,805736.0,648070.0
37,Oregon,134979,5067,274182.0,656365.0,982329.0,937817.0
38,Pennsylvania,2320771,127278,874018.0,3133655.0,2168373.0,2745317.0
39,Rhode Island,401931,14251,87994.0,207007.0,194223.0,243964.0
40,South Carolina,313173,11859,435770.0,998459.0,1022950.0,927823.0
41,South Dakota,122292,1121,46944.0,173262.0,185400.0,161477.0
42,Tennessee,583792,10198,590270.0,1467848.0,1266537.0,1206051.0
43,Texas,1553075,41267,2993432.0,4448881.0,5153577.0,5219469.0
44,Utah,245859,2472,143360.0,407324.0,638721.0,592660.0
45,Vermont,45230,2320,32707.0,128172.0,114710.0,164106.0
46,Virginia,866807,28754,612820.0,1381080.0,1549589.0,2186863.0
47,Washington,807848,42371,444721.0,1109016.0,1684945.0,1763261.0
48,West Virginia,56158,1950,174230.0,523536.0,332568.0,261750.0
49,Wisconsin,393823,15587,317174.0,1216570.0,1236655.0,1160490.0
50,Wyoming,28407,281,27644.0,111899.0,145071.0,104677.0
