,State,fips,cases,deaths,Doctorate From Doc Inst 2018,Doctorate From Bach Inst 2018,Total Doctorate Degrees 2018
0,Alabama,73,387786,14345,493174,248175,741349
1,Alaska,148,18316,367,506,293,799
2,Arizona,480,426614,18857,560204,321105,881309
3,Arkansas,375,161569,3301,20363,15171,35534
4,California,726,2664110,102387,49711105,2676741,52387846
5,Colorado,648,766512,37828,825227,413146,1238373
6,Connecticut,702,1314995,104185,608178,352149,960327
7,Delaware,750,234327,7813,22711,9116,31827
8,District of Columbia,869,229466,10822,380208,170105,550313
9,Florida,1020,1726811,63147,1756590,898367,2654957
10,Georgia,1092,1282091,54209,1207304,598228,1805532
11,Hawaii,1200,31433,681,13665,6224,19889
12,Idaho,1168,103987,2828,7720,9932,17652
13,Illinois,2074,2843621,122000,1897620,1020430,2918050
14,Indiana,1440,920434,53042,1206425,624274,1830699
15,Iowa,1482,396980,9203,568175,351131,919306
16,Kansas,1580,231885,6527,388146,18887,407033
17,Kentucky,1680,246480,11851,348146,234116,582262
18,Louisiana,1694,1443404,90609,413163,281126,694289
19,Maine,1702,61284,2451,419,14651,15070
20,Maryland,1944,1173802,56126,1163202,562132,1725334
21,Massachusetts,2850,2929874,167711,2383563,1409440,3793003
22,Michigan,1976,2023047,171867,1506447,928364,2434811
23,Minnesota,2160,377850,18934,1045392,625197,1670589
24,Mississippi,2100,358459,15047,311160,166142,477302
25,Missouri,2291,395952,17924,717261,501226,1218487
26,Montana,2190,23875,676,7933,6540,14473
27,Nebraska,3038,259429,3535,27467,15056,42523
28,Nevada,2592,259808,11975,17961,8933,26894
29,New Hampshire,2772,117245,4507,14817,14643,29460
30,New Jersey,2788,5645458,332869,802322,473159,1275481
31,New Mexico,2625,177827,6867,220102,12859,232961
32,New York,3060,15041806,1081194,31951065,2011696,33962761
33,North Carolina,3071,568719,19258,1394342,785323,2179665
34,North Dakota,2850,55932,1219,15340,5327,20667
35,Ohio,3003,908834,47879,1495556,914414,2409970
36,Oklahoma,3200,187462,10394,327177,179127,506304
37,Oregon,3567,134979,5067,47265,29691,76956
38,Pennsylvania,3360,2320771,127278,1939684,1506534,3446218
39,Rhode Island,3740,401931,14251,24482,21168,45650
40,South Carolina,3600,313173,11859,441127,260123,701250
41,South Dakota,3496,122292,1121,10311,5912,16223
42,Tennessee,3807,583792,10198,673282,374243,1047525
43,Texas,4944,1553075,41267,30521022,1148537,31669559
44,Utah,4410,245859,2472,42785,390160,432945
45,Vermont,3950,45230,2320,603,10839,11442
46,Virginia,4029,866807,28754,1116402,698327,1814729
47,Washington,6625,807848,42371,794170,492161,1286331
48,West Virginia,3726,56158,1950,14871,9554,24425
49,Wisconsin,6050,393823,15587,804277,562182,1366459
50,Wyoming,4200,28407,281,8418,3622,12040
