,State,4th 2015 Math,4th 2015 Science,8th 2015 Math,8th 2015 Science,Labor Force w/ Bachelor 2018,Labor Force Participants 2018,Total Doctorate Degrees 2018,Less Than HS Diploma 14-18,HS Diploma 14-18,Some College or Associate Degree 14-18,Bachelor Degree or Higher 14-18,ELL Students Enrolled 2017,Public School Expenditure 2016(Thousands),State GDP(Millions),Student Enrollment,Public School Salary 2018(Dollars),cases,deaths
0,Alabama,231,145,267,141,624760,2219105,741349,470043.0,1020172.0,987148.0,822595.0,25212,6885677.0,203398.0,743789.0,50568.0,26912,785
1,Alaska,236,154,280,154,108145,371180,799,34760.0,133851.0,169471.0,139645.0,15623,2319662.0,49429.0,132477.0,69682.0,751,10
2,Arizona,238,149,283,148,1014830,3396895,881309,613002.0,1112551.0,1570308.0,1338071.0,88629,8551673.0,311397.0,1109040.0,48723.0,39298,1228
3,Arkansas,235,150,275,148,347335,1379145,35534,276029.0,681223.0,590434.0,451621.0,39836,4872214.0,120090.0,492132.0,50544.0,13191,188
4,California,232,140,275,143,7115070,20038675,52387846,4475565.0,5391120.0,7633463.0,8718737.0,1197296,72003129.0,2663396.0,6305347.0,80680.0,159098,5202
5,Colorado,242,154,286,154,1290890,3105290,1238373,322718.0,803431.0,1117551.0,1504892.0,104299,8648369.0,329097.0,899112.0,52701.0,29427,1617
6,Connecticut,240,154,284,155,796610,1928920,960327,235826.0,670519.0,607136.0,965227.0,38089,10551327.0,262979.0,537933.0,74517.0,45349,4210
7,Delaware,239,150,280,149,156250,486290,31827,67482.0,208557.0,176708.0,207232.0,12296,1941408.0,70380.0,134847.0,61795.0,10403,424
8,District of Columbia,231,154,263,154,270905,412055,550313,45805.0,83572.0,77255.0,280349.0,8145,1775833.0,129817.0,84024.0,76486.0,9818,520
9,Florida,243,158,275,153,3194970,10265785,2654957,1769489.0,4231678.0,4402103.0,4283457.0,280540,25621239.0,938370.0,2792234.0,48168.0,80101,2992
10,Georgia,236,152,279,152,1770780,5203360,1805532,903914.0,1890132.0,1912385.0,2080116.0,113605,17283295.0,538238.0,1757237.0,56329.0,56302,2492
11,Hawaii,238,146,279,144,238705,712135,19889,80696.0,273633.0,313042.0,320996.0,14773,2502117.0,85867.0,181995.0,57866.0,728,17
12,Idaho,239,156,284,160,233510,840240,17652,102691.0,301860.0,391446.0,293269.0,17849,2097992.0,69313.0,292277.0,49225.0,3543,89
13,Illinois,237,151,282,150,2506845,6662825,2918050,964587.0,2267535.0,2492430.0,2957791.0,217790,29253457.0,805434.0,2041779.0,65721.0,134866,6608
14,Indiana,248,159,287,156,979960,3388035,1830699,502624.0,1475931.0,1281352.0,1139908.0,55607,10144064.0,338227.0,1046757.0,50614.0,41780,2447
15,Iowa,243,159,286,159,505035,1676715,919306,166709.0,648137.0,679510.0,587017.0,29473,5663444.0,180351.0,508014.0,57018.0,24263,670
16,Kansas,241,154,284,155,512860,1499745,407033,175719.0,492819.0,603061.0,623076.0,49238,5065968.0,155682.0,495884.0,49754.0,11569,246
17,Kentucky,242,160,278,157,591910,2105670,582262,429573.0,991791.0,873037.0,709603.0,25653,6750052.0,195080.0,686598.0,52952.0,12899,530
18,Louisiana,234,154,268,154,582565,2152800,694289,471960.0,1055768.0,842620.0,737593.0,25060,8027058.0,228087.0,718711.0,50359.0,47818,3042
19,Maine,242,158,285,160,230960,703405,15070,74426.0,308013.0,286179.0,299279.0,5775,2579299.0,59604.0,181613.0,53815.0,2819,101
20,Maryland,239,153,283,155,1373420,3251245,1725334,409757.0,1021847.0,1052689.0,1630565.0,79656,12774063.0,384156.0,879601.0,69627.0,63004,2982
21,Massachusetts,251,161,297,162,1788060,3803705,3793003,454360.0,1150846.0,1105887.0,2037702.0,93217,16374676.0,519741.0,964026.0,80357.0,105885,7664
22,Michigan,236,154,278,155,1578260,4973990,2434811,641536.0,1966809.0,2226818.0,1937052.0,97837,16977163.0,490183.0,1536231.0,61911.0,66466,6039
23,Minnesota,250,157,294,162,1144810,3078155,1670589,262401.0,930058.0,1216521.0,1322782.0,73203,10687048.0,338638.0,864384.0,57782.0,30913,1344
24,Mississippi,234,140,271,140,342455,1326205,477302,316345.0,596564.0,625228.0,429177.0,12865,4234977.0,106891.0,487200.0,44926.0,20152,915
25,Missouri,239,155,281,159,974435,3049455,1218487,430529.0,1266430.0,1246796.0,1181083.0,33925,9545816.0,296070.0,919234.0,49304.0,16930,903
26,Montana,241,159,287,161,172420,542060,14473,48608.0,208896.0,233893.0,222870.0,3191,1652848.0,45550.0,145319.0,52776.0,614,19
27,Nebraska,244,162,286,160,341565,1035220,42523,110739.0,326549.0,415959.0,389216.0,23332,3911805.0,116056.0,316014.0,54213.0,17031,236
28,Nevada,234,142,275,149,368865,1531365,26894,274163.0,563229.0,678710.0,485348.0,81635,4092457.0,150436.0,467527.0,54280.0,11673,467
29,New Hampshire,249,165,294,165,277750,755905,29460,67607.0,263005.0,274078.0,347425.0,4988,2833893.0,78402.0,182425.0,57833.0,5364,326
30,New Jersey,245,155,293,156,2057040,4718205,1275481,641113.0,1683568.0,1420805.0,2384056.0,79574,26825114.0,581271.0,1408845.0,69917.0,167426,12727
31,New Mexico,231,143,271,143,255880,931955,232961,205558.0,368487.0,442039.0,378196.0,52892,3343152.0,91004.0,335694.0,47152.0,9933,447
32,New York,237,150,280,150,4146075,10004515,33962761,1839849.0,3556251.0,3322104.0,4888138.0,243737,59161439.0,1541524.0,2711626.0,84227.0,389349,30683
33,North Carolina,244,154,281,150,1733090,5125645,2179665,869866.0,1780253.0,2132449.0,2099206.0,105801,13466942.0,518248.0,1544934.0,51231.0,46105,1185
34,North Dakota,245,161,288,161,122840,412510,20667,36794.0,131264.0,177779.0,144396.0,3669,1451309.0,50772.0,108644.0,52850.0,3127,77
35,Ohio,244,157,285,157,1845710,5930010,2409970,786160.0,2639478.0,2305877.0,2205570.0,53392,20484182.0,621363.0,1716585.0,58000.0,42010,2597
36,Oklahoma,240,153,275,151,499750,1873105,506304,313788.0,806407.0,805736.0,648070.0,52200,5606044.0,178510.0,692878.0,46300.0,8645,363
37,Oregon,238,153,283,156,735305,2135975,76956,274182.0,656365.0,982329.0,937817.0,51036,6238574.0,215153.0,608825.0,63061.0,6105,182
38,Pennsylvania,243,154,284,154,2297270,6570180,3446218,874018.0,3133655.0,2168373.0,2745317.0,61724,26045127.0,724266.0,1717414.0,67535.0,84077,6337
39,Rhode Island,238,152,281,151,200310,558360,45650,87994.0,207007.0,194223.0,243964.0,12620,2283927.0,57727.0,142014.0,66758.0,16164,865
40,South Carolina,237,155,276,151,731530,2444595,701250,435770.0,998459.0,1022950.0,927823.0,45574,7669725.0,212675.0,763533.0,50182.0,19990,607
41,South Dakota,240,157,285,160,137995,467570,16223,46944.0,173262.0,185400.0,161477.0,5452,1253268.0,48462.0,134253.0,47631.0,5966,77
42,Tennessee,241,157,278,156,995435,3315105,1047525,590270.0,1467848.0,1266537.0,1206051.0,44790,8886994.0,334385.0,1001235.0,50900.0,31623,487
43,Texas,244,155,284,156,4433840,14185655,31669559,2993432.0,4448881.0,5153577.0,5219469.0,926325,49577688.0,1564396.0,5301477.0,53334.0,95973,2057
44,Utah,243,160,286,166,499305,1583735,432945,143360.0,407324.0,638721.0,592660.0,46220,4539291.0,157902.0,647870.0,49655.0,15077,145
45,Vermont,243,163,290,163,137270,344075,11442,32707.0,128172.0,114710.0,164106.0,1770,1671433.0,31635.0,87866.0,60556.0,1131,55
46,Virginia,247,165,288,160,1797625,4364135,1814729,612820.0,1381080.0,1549589.0,2186863.0,114739,14677698.0,493866.0,1283590.0,51994.0,55331,1570
47,Washington,245,158,287,157,1440765,3858830,1286331,444721.0,1109016.0,1684945.0,1763261.0,127777,12483668.0,492943.0,1087030.0,55693.0,27949,1234
48,West Virginia,235,151,271,150,201375,787455,24425,174230.0,523536.0,332568.0,261750.0,2035,3169684.0,69814.0,277452.0,45642.0,2341,88
49,Wisconsin,243,156,289,159,962100,3091945,1366459,317174.0,1216570.0,1236655.0,1160490.0,49905,10122041.0,312141.0,867800.0,51469.0,23328,704
50,Wyoming,247,161,287,160,78605,299120,12040,27644.0,111899.0,145071.0,104677.0,2839,1556321.0,35905.0,94717.0,58352.0,1089,18
