,State,cases,deaths,AGI Total,AGI Top 1 Percent,AGI Top 5 Percent,AGI Top 10 Percent,AGI Top 25 Percent,AGI Top 50 Percent,AGI Top 75 Percent
0,Alabama,387786,14345,119662909,18553159,35924229,49537638,76667112,101687773,114405941
1,Alaska,18316,367,23969001,2848087,6184956,8915998,14554105,20064361,22927860
2,Arizona,426614,18857,197753744,33609317,63073164,85351788,128616004,168531690,189378565
3,Arkansas,161569,3301,74634888,16319991,26475276,34256878,49689104,64088761,71584342
4,California,2664110,102387,1549284943,356240355,600859502,772738760,1086299917,1360947743,1497300869
5,Colorado,766512,37828,212581123,37479649,69617571,93359185,138935934,181679584,204043171
6,Connecticut,1314995,104185,175792834,47379889,74456114,92142733,125039874,155284852,170426876
7,Delaware,234327,7813,31403165,4412370,8899481,12464894,19652753,26529258,30056514
8,District of Columbia,229466,10822,34743188,7442186,13245281,17240750,24153683,30301657,33570901
9,Florida,1726811,63147,750608252,213461301,325886670,401558825,540976844,663846145,726074247
10,Georgia,1282091,54209,301921590,57388490,104804525,139242396,203999008,261742257,290481346
11,Hawaii,31433,681,46035510,6481803,12912656,18065442,28514439,38613296,44050315
12,Idaho,103987,2828,46384513,7043329,13662436,18722793,28953730,38984622,44308028
13,Illinois,2843621,122000,459437029,88047538,157346611,207726891,304850658,395935092,442093637
14,Indiana,920434,53042,186286142,27521323,53675233,74168484,116195909,157030083,178430564
15,Iowa,396980,9203,93417302,12488315,25114430,35149212,56092713,77294312,88854221
16,Kansas,231885,6527,86807929,13696092,26199853,35706441,54817452,73365708,83138128
17,Kentucky,246480,11851,108540518,15254352,30804516,42952236,67620702,91263425,103719767
18,Louisiana,1443404,90609,116954746,18792763,36396221,49866733,76350641,100241514,112100922
19,Maine,61284,2451,38926722,5077172,10692933,15056768,23892336,32507652,37139488
20,Maryland,1173802,56126,236559749,36136729,70837704,98181542,152060724,202499680,227839320
21,Massachusetts,2929874,167711,328495225,77774616,127550850,162355164,227412810,286859265,317449124
22,Michigan,2023047,171867,301269271,50208498,93844946,127515398,194799059,258433238,290078466
23,Minnesota,377850,18934,206705932,33783433,63611623,85939203,130489872,174387310,197857181
24,Mississippi,358459,15047,61807904,8290744,17304630,24548694,38932555,52006558,58837784
25,Missouri,395952,17924,173130847,28163355,53131079,72303155,110588585,147135646,166087991
26,Montana,23875,676,30503637,4744200,9139061,12461177,19265746,25846198,29239933
27,Nebraska,259429,3535,58525931,8838903,16946908,23218983,36083323,48838557,55755143
28,Nevada,259808,11975,98309878,23874156,37333048,47218122,66504182,84573854,94348203
29,New Hampshire,117245,4507,54745645,8956761,16707828,22694489,34638683,46284032,52421534
30,New Jersey,5645458,332869,396393676,77681603,140320265,185056320,269261777,345542637,382969778
31,New Mexico,177827,6867,49827470,6965833,14302259,20204838,31837093,42449792,47876784
32,New York,15041806,1081194,855923119,250365011,377131528,462031203,619086475,760926774,830808771
33,North Carolina,568719,19258,287924949,46091164,90608605,123830258,187648941,245963463,276087066
34,North Dakota,55932,1219,25255625,3604574,7073108,9733582,15307366,20973814,24038632
35,Ohio,908834,47879,340830550,50436504,99481171,136759826,211894064,285438258,325323706
36,Oklahoma,187462,10394,99128116,16211551,30719528,41653327,63444374,84095597,94931870
37,Oregon,134979,5067,133480354,20929016,40620618,55579971,85096784,113325285,127898239
38,Pennsylvania,2320771,127278,428465752,72694735,136621454,184125609,277366419,366264333,412054991
39,Rhode Island,401931,14251,35997730,5705938,10891229,14920731,22953319,30559886,34510941
40,South Carolina,313173,11859,133226223,20541178,40519282,55763743,85745273,113230459,127499350
41,South Dakota,122292,1121,26937890,4572180,8316422,11093874,16817058,22572669,25713587
42,Tennessee,583792,10198,185509888,33032654,60793344,81219315,121020622,158200295,177768712
43,Texas,1553075,41267,907906533,200671712,340091337,439367608,624949715,790758741,874823715
44,Utah,245859,2472,91266545,15955410,28644423,38145900,57498266,76877969,87217572
45,Vermont,45230,2320,20481722,2953450,5883104,8166850,12780719,17238224,19630470
46,Virginia,866807,28754,311563990,48947370,95294396,131722445,202082766,267111487,299491962
47,Washington,807848,42371,301047997,56161054,100723679,133493477,196827722,257340470,288919311
48,West Virginia,56158,1950,40224760,4482103,10077647,14708262,24382069,33721011,38437287
49,Wisconsin,393823,15587,185948284,28215039,53841327,73692520,114778538,155869897,177843906
50,Wyoming,28407,281,21692660,5985614,8544166,10478127,14560102,18730918,20896804
