,State,cases,deaths,Technical Workers 2018,All Occupations 2018,Technical Workers 2018 (Percent)
0,Alabama,387786,14345,25768.46153846154,1943760.0,1.377782462441158
1,Alaska,18316,367,6370.0,315250.0,2.020618556701031
2,Arizona,426614,18857,40286.92307692308,2789520.0,1.60871158874756
3,Arkansas,161569,3301,11790.0,1210120.0,0.9742835421280535
4,California,2664110,102387,266500.0,17007690.0,1.566938249697637
5,Colorado,766512,37828,39090.0,2620640.0,1.491620367543806
6,Connecticut,1314995,104185,27020.0,1660200.0,1.6275147572581619
7,Delaware,234327,7813,5870.0,448510.0,1.3087779536688144
8,District of Columbia,229466,10822,10760.0,712370.0,1.5104510296615523
9,Florida,1726811,63147,83360.0,8608660.0,0.9683272425673681
10,Georgia,1282091,54209,49720.0,4394740.0,1.1313524804652837
11,Hawaii,31433,681,6750.0,641790.0,1.051745898190997
12,Idaho,103987,2828,12110.0,706140.0,1.7149573738918629
13,Illinois,2843621,122000,76790.0,5991270.0,1.281698204220474
14,Indiana,920434,53042,36160.71428571428,3048100.0,1.255665022874166
15,Iowa,396980,9203,20830.0,1541700.0,1.3511059220341182
16,Kansas,231885,6527,15790.0,1375380.0,1.1480463580973985
17,Kentucky,246480,11851,17190.0,1889870.0,0.9095863736659136
18,Louisiana,1443404,90609,23580.0,1913770.0,1.2321229823855533
19,Maine,61284,2451,8320.0,605550.0,1.3739575592436628
20,Maryland,1173802,56126,45530.0,2684010.0,1.696342413031248
21,Massachusetts,2929874,167711,63560.0,3571360.0,1.7797141705120738
22,Michigan,2023047,171867,59390.0,4317830.0,1.3754594321684734
23,Minnesota,377850,18934,42520.0,2867700.0,1.4827213446315863
24,Mississippi,358459,15047,10120.0,1123830.0,0.9004920673055533
25,Missouri,395952,17924,30660.0,2804780.0,1.0931338643316053
26,Montana,23875,676,7730.0,463280.0,1.6685373855983423
27,Nebraska,259429,3535,12010.0,978290.0,1.2276523321305544
28,Nevada,259808,11975,13670.0,1347130.0,1.0147498756615918
29,New Hampshire,117245,4507,10790.0,652920.0,1.6525761195858604
30,New Jersey,5645458,332869,52360.0,4050170.0,1.292785241113336
31,New Mexico,177827,6867,13620.0,811680.0,1.6780011827321113
32,New York,15041806,1081194,99470.0,9385620.0,1.0598127774190729
33,North Carolina,568719,19258,53450.0,4383210.0,1.2194259458250918
34,North Dakota,55932,1219,5680.0,416550.0,1.3635818029048132
35,Ohio,908834,47879,61990.0,5416810.0,1.1444004866332769
36,Oklahoma,187462,10394,22550.0,1594370.0,1.4143517502210905
37,Oregon,134979,5067,33860.0,1886090.0,1.7952483709685114
38,Pennsylvania,2320771,127278,79415.0,5847690.0,1.4031368698117024
39,Rhode Island,401931,14251,5260.0,482030.0,1.0912183888969567
40,South Carolina,313173,11859,22900.0,2062280.0,1.1104214752603914
41,South Dakota,122292,1121,3700.0,422310.0,0.8761336458999314
42,Tennessee,583792,10198,36220.0,2956920.0,1.2249232309294806
43,Texas,1553075,41267,163150.0,12113810.0,1.3468099631742614
44,Utah,245859,2472,22152.85714285714,1455910.0,1.818545665929458
45,Vermont,45230,2320,4730.0,305210.0,1.5497526293371777
46,Virginia,866807,28754,55400.0,3832840.0,1.4454034084386513
47,Washington,807848,42371,56280.0,3259150.0,1.7268306153444917
48,West Virginia,56158,1950,8100.0,696620.0,1.1627573138870546
49,Wisconsin,393823,15587,35790.0,2848560.0,1.2564242985929734
50,Wyoming,28407,281,3980.0,269320.0,1.4777959304916086
