,State,cases,deaths,4th 2015 Math,4th 2015 Science,8th 2015 Math,8th 2015 Science,Labor Force w/ Bachelor 2018,Labor Force Participants 2018,Percent of Labor Force w/ Bachelor 2018,Doctorate From Doc Inst 2018,Doctorate From Bach Inst 2018,Total Doctorate Degrees 2018,Less Than HS Diploma 14-18,HS Diploma 14-18,Some College or Associate Degree 14-18,Bachelor Degree or Higher 14-18,ELL Students Enrolled 2017
0,Alabama,387786,14345,231,145,267,141,624760,2219105,28.153692592283825,493174,248175,741349,470043.0,1020172.0,987148.0,822595.0,25212
1,Alaska,18316,367,236,154,280,154,108145,371180,29.135459884692057,506,293,799,34760.0,133851.0,169471.0,139645.0,15623
2,Arizona,426614,18857,238,149,283,148,1014830,3396895,29.87522428570798,560204,321105,881309,613002.0,1112551.0,1570308.0,1338071.0,88629
3,Arkansas,161569,3301,235,150,275,148,347335,1379145,25.18480652868262,20363,15171,35534,276029.0,681223.0,590434.0,451621.0,39836
4,California,2664110,102387,232,140,275,143,7115070,20038675,35.506688940261775,49711105,2676741,52387846,4475565.0,5391120.0,7633463.0,8718737.0,1197296
5,Colorado,766512,37828,242,154,286,154,1290890,3105290,41.57067455857585,825227,413146,1238373,322718.0,803431.0,1117551.0,1504892.0,104299
6,Connecticut,1314995,104185,240,154,284,155,796610,1928920,41.29823942931796,608178,352149,960327,235826.0,670519.0,607136.0,965227.0,38089
7,Delaware,234327,7813,239,150,280,149,156250,486290,32.13103292274157,22711,9116,31827,67482.0,208557.0,176708.0,207232.0,12296
8,District of Columbia,229466,10822,231,154,263,154,270905,412055,65.74486415648397,380208,170105,550313,45805.0,83572.0,77255.0,280349.0,8145
9,Florida,1726811,63147,243,158,275,153,3194970,10265785,31.122510358438248,1756590,898367,2654957,1769489.0,4231678.0,4402103.0,4283457.0,280540
10,Georgia,1282091,54209,236,152,279,152,1770780,5203360,34.031471971956584,1207304,598228,1805532,903914.0,1890132.0,1912385.0,2080116.0,113605
11,Hawaii,31433,681,238,146,279,144,238705,712135,33.519627598699685,13665,6224,19889,80696.0,273633.0,313042.0,320996.0,14773
12,Idaho,103987,2828,239,156,284,160,233510,840240,27.790869275445107,7720,9932,17652,102691.0,301860.0,391446.0,293269.0,17849
13,Illinois,2843621,122000,237,151,282,150,2506845,6662825,37.624356035165256,1897620,1020430,2918050,964587.0,2267535.0,2492430.0,2957791.0,217790
14,Indiana,920434,53042,248,159,287,156,979960,3388035,28.924140394063226,1206425,624274,1830699,502624.0,1475931.0,1281352.0,1139908.0,55607
15,Iowa,396980,9203,243,159,286,159,505035,1676715,30.120503484491998,568175,351131,919306,166709.0,648137.0,679510.0,587017.0,29473
16,Kansas,231885,6527,241,154,284,155,512860,1499745,34.19648006827828,388146,18887,407033,175719.0,492819.0,603061.0,623076.0,49238
17,Kentucky,246480,11851,242,160,278,157,591910,2105670,28.110292685938443,348146,234116,582262,429573.0,991791.0,873037.0,709603.0,25653
18,Louisiana,1443404,90609,234,154,268,154,582565,2152800,27.060804533630623,413163,281126,694289,471960.0,1055768.0,842620.0,737593.0,25060
19,Maine,61284,2451,242,158,285,160,230960,703405,32.83456898941577,419,14651,15070,74426.0,308013.0,286179.0,299279.0,5775
20,Maryland,1173802,56126,239,153,283,155,1373420,3251245,42.24289464497446,1163202,562132,1725334,409757.0,1021847.0,1052689.0,1630565.0,79656
21,Massachusetts,2929874,167711,251,161,297,162,1788060,3803705,47.008377358391364,2383563,1409440,3793003,454360.0,1150846.0,1105887.0,2037702.0,93217
22,Michigan,2023047,171867,236,154,278,155,1578260,4973990,31.730260816768826,1506447,928364,2434811,641536.0,1966809.0,2226818.0,1937052.0,97837
23,Minnesota,377850,18934,250,157,294,162,1144810,3078155,37.191434479420295,1045392,625197,1670589,262401.0,930058.0,1216521.0,1322782.0,73203
24,Mississippi,358459,15047,234,140,271,140,342455,1326205,25.822176812785354,311160,166142,477302,316345.0,596564.0,625228.0,429177.0,12865
25,Missouri,395952,17924,239,155,281,159,974435,3049455,31.954398408896022,717261,501226,1218487,430529.0,1266430.0,1246796.0,1181083.0,33925
26,Montana,23875,676,241,159,287,161,172420,542060,31.808286905508613,7933,6540,14473,48608.0,208896.0,233893.0,222870.0,3191
27,Nebraska,259429,3535,244,162,286,160,341565,1035220,32.99443596530206,27467,15056,42523,110739.0,326549.0,415959.0,389216.0,23332
28,Nevada,259808,11975,234,142,275,149,368865,1531365,24.08733384921296,17961,8933,26894,274163.0,563229.0,678710.0,485348.0,81635
29,New Hampshire,117245,4507,249,165,294,165,277750,755905,36.74403529544056,14817,14643,29460,67607.0,263005.0,274078.0,347425.0,4988
30,New Jersey,5645458,332869,245,155,293,156,2057040,4718205,43.59793607950481,802322,473159,1275481,641113.0,1683568.0,1420805.0,2384056.0,79574
31,New Mexico,177827,6867,231,143,271,143,255880,931955,27.45626130017007,220102,12859,232961,205558.0,368487.0,442039.0,378196.0,52892
32,New York,15041806,1081194,237,150,280,150,4146075,10004515,41.442038919427866,31951065,2011696,33962761,1839849.0,3556251.0,3322104.0,4888138.0,243737
33,North Carolina,568719,19258,244,154,281,150,1733090,5125645,33.812134863026984,1394342,785323,2179665,869866.0,1780253.0,2132449.0,2099206.0,105801
34,North Dakota,55932,1219,245,161,288,161,122840,412510,29.77867203219316,15340,5327,20667,36794.0,131264.0,177779.0,144396.0,3669
35,Ohio,908834,47879,244,157,285,157,1845710,5930010,31.124905354291137,1495556,914414,2409970,786160.0,2639478.0,2305877.0,2205570.0,53392
36,Oklahoma,187462,10394,240,153,275,151,499750,1873105,26.68029822140243,327177,179127,506304,313788.0,806407.0,805736.0,648070.0,52200
37,Oregon,134979,5067,238,153,283,156,735305,2135975,34.42479429768607,47265,29691,76956,274182.0,656365.0,982329.0,937817.0,51036
38,Pennsylvania,2320771,127278,243,154,284,154,2297270,6570180,34.96509989071836,1939684,1506534,3446218,874018.0,3133655.0,2168373.0,2745317.0,61724
39,Rhode Island,401931,14251,238,152,281,151,200310,558360,35.874704491725765,24482,21168,45650,87994.0,207007.0,194223.0,243964.0,12620
40,South Carolina,313173,11859,237,155,276,151,731530,2444595,29.92438420270024,441127,260123,701250,435770.0,998459.0,1022950.0,927823.0,45574
41,South Dakota,122292,1121,240,157,285,160,137995,467570,29.51322796586607,10311,5912,16223,46944.0,173262.0,185400.0,161477.0,5452
42,Tennessee,583792,10198,241,157,278,156,995435,3315105,30.02725403871069,673282,374243,1047525,590270.0,1467848.0,1266537.0,1206051.0,44790
43,Texas,1553075,41267,244,155,284,156,4433840,14185655,31.255800313767672,30521022,1148537,31669559,2993432.0,4448881.0,5153577.0,5219469.0,926325
44,Utah,245859,2472,243,160,286,166,499305,1583735,31.5270547155932,42785,390160,432945,143360.0,407324.0,638721.0,592660.0,46220
45,Vermont,45230,2320,243,163,290,163,137270,344075,39.89537164862312,603,10839,11442,32707.0,128172.0,114710.0,164106.0,1770
46,Virginia,866807,28754,247,165,288,160,1797625,4364135,41.19086600208289,1116402,698327,1814729,612820.0,1381080.0,1549589.0,2186863.0,114739
47,Washington,807848,42371,245,158,287,157,1440765,3858830,37.33683525835552,794170,492161,1286331,444721.0,1109016.0,1684945.0,1763261.0,127777
48,West Virginia,56158,1950,235,151,271,150,201375,787455,25.572889879421677,14871,9554,24425,174230.0,523536.0,332568.0,261750.0,2035
49,Wisconsin,393823,15587,243,156,289,159,962100,3091945,31.116336157337862,804277,562182,1366459,317174.0,1216570.0,1236655.0,1160490.0,49905
50,Wyoming,28407,281,247,161,287,160,78605,299120,26.278751002941966,8418,3622,12040,27644.0,111899.0,145071.0,104677.0,2839
