,State,cases,deaths,Social Scientists 2018,All Occupations 2018,Social Scientists 2018 (Percent)
0,Alabama,387786,14345,3195.0,1943760.0,0.17000466422065189
1,Alaska,18316,367,1090.0,315250.0,0.3457573354480571
2,Arizona,426614,18857,7870.0,2789520.0,0.28212739109237434
3,Arkansas,161569,3301,2426.923076923077,1210120.0,0.20952960972401863
4,California,2664110,102387,50350.0,17007690.0,0.29604255486782743
5,Colorado,766512,37828,8079.2307692307695,2620640.0,0.3537773840775364
6,Connecticut,1314995,104185,4830.0,1660200.0,0.2909288037585833
7,Delaware,234327,7813,1230.0,448510.0,0.27424137700385726
8,District of Columbia,229466,10822,18400.0,712370.0,2.5829274113171525
9,Florida,1726811,63147,15880.0,8608660.0,0.18446541041230574
10,Georgia,1282091,54209,9520.0,4394740.0,0.2166225988340607
11,Hawaii,31433,681,2480.0,641790.0,0.3864192337057293
12,Idaho,103987,2828,1340.0,706140.0,0.18976406944798482
13,Illinois,2843621,122000,17755.714285714286,5991270.0,0.30741666123275474
14,Indiana,920434,53042,6471.538461538462,3048100.0,0.22528462619579961
15,Iowa,396980,9203,2740.0,1541700.0,0.17772588700784847
16,Kansas,231885,6527,2790.0,1375380.0,0.20285302970815342
17,Kentucky,246480,11851,3460.0,1889870.0,0.18308137596765917
18,Louisiana,1443404,90609,2680.0,1913770.0,0.14003772658156413
19,Maine,61284,2451,1430.0,605550.0,0.23614895549500456
20,Maryland,1173802,56126,12727.0,2684010.0,0.5024365489879546
21,Massachusetts,2929874,167711,19024.0,3571360.0,0.5866278260144744
22,Michigan,2023047,171867,8330.0,4317830.0,0.19292098114098982
23,Minnesota,377850,18934,9240.0,2867700.0,0.3222094361334868
24,Mississippi,358459,15047,1350.0,1123830.0,0.1201249299271242
25,Missouri,395952,17924,6507.857142857143,2804780.0,0.24274904293345978
26,Montana,23875,676,1510.0,463280.0,0.32593679848040064
27,Nebraska,259429,3535,2350.0,978290.0,0.24021506915127416
28,Nevada,259808,11975,1950.0,1347130.0,0.14475217685004416
29,New Hampshire,117245,4507,1570.0,652920.0,0.2404582490963671
30,New Jersey,5645458,332869,8840.0,4050170.0,0.21826244330484892
31,New Mexico,177827,6867,2890.0,811680.0,0.35605164596885475
32,New York,15041806,1081194,37090.0,9385620.0,0.39517900788653276
33,North Carolina,568719,19258,11800.0,4383210.0,0.269209095617139
34,North Dakota,55932,1219,780.0,416550.0,0.18725243068059058
35,Ohio,908834,47879,11470.0,5416810.0,0.21174824296957065
36,Oklahoma,187462,10394,3160.0,1594370.0,0.19819740712632575
37,Oregon,134979,5067,5030.0,1886090.0,0.2666892884220795
38,Pennsylvania,2320771,127278,15000.0,5847690.0,0.25651154558466677
39,Rhode Island,401931,14251,1730.0,482030.0,0.3588988237246644
40,South Carolina,313173,11859,3230.0,2062280.0,0.15662276703454428
41,South Dakota,122292,1121,1010.0,422310.0,0.23916080604295423
42,Tennessee,583792,10198,5410.0,2956920.0,0.18296064824208974
43,Texas,1553075,41267,23740.0,12113810.0,0.19597467683577668
44,Utah,245859,2472,3910.0,1455910.0,0.26856055662781353
45,Vermont,45230,2320,1310.0,305210.0,0.4292126732413748
46,Virginia,866807,28754,17101.428571428572,3832840.0,0.4722822977627659
47,Washington,807848,42371,9360.0,3259150.0,0.28719144562232485
48,West Virginia,56158,1950,1920.0,696620.0,0.27561654847693146
49,Wisconsin,393823,15587,7150.0,2848560.0,0.25100401606425704
50,Wyoming,28407,281,760.0,269320.0,0.28219218773206595
